Resultados para cada valor de k:
k = 1, Precisión = 97.86%
k = 2, Precisión = 96.70%
k = 3, Precisión = 98.25%
k = 4, Precisión = 96.89%
k = 5, Precisión = 97.28%
k = 6, Precisión = 96.31%
k = 7, Precisión = 97.09%
k = 8, Precisión = 96.70%
k = 9, Precisión = 97.09%
k = 10, Precisión = 96.31%
k = 11, Precisión = 96.50%
k = 12, Precisión = 96.31%
k = 13, Precisión = 96.12%
k = 14, Precisión = 96.50%
k = 15, Precisión = 96.50%
k = 16, Precisión = 95.73%
k = 17, Precisión = 96.50%
k = 18, Precisión = 95.92%
k = 19, Precisión = 96.50%
k = 20, Precisión = 96.31%
